data,quilometragem,abastecimento dias,preço do litro,custo do abastecimento,litros inseridos,distância percorrida,tempo rodado,velocidade média,consumo,consumo,custo / km,Tipo gas,Posto,
08/05/2022,163678,8,"R$ 7,19","R$ 298,68",42,456,16:26:00,29,"10,98",00:23,"R$ 0,66",,,
21/05/2022,164196,13,"R$ 7,29","R$ 341,90",47,518,18:52:00,27,"11,04",00:24,"R$ 0,65",,,
30/04/2022,163222,,"R$ 7,20","R$ 272,76",38,,14:52:00,,,00:23,,,840,
30/05/2022,164655,9,"R$ 7,09","R$ 292,34",41,459,16:32:00,27,"11,20",00:24,"R$ 0,65",,,
09/06/2022,165147,10,"R$ 6,89","R$ 323,21",47,492,18:06:00,29,"10,49",00:23,"R$ 0,68",,,
19/06/2022,165566,10,"R$ 7,15","R$ 270,17",38,419,16:08:00,25,"11,03",00:25,"R$ 0,62",,,
02/07/2022,166005,13,"R$ 5,99","R$ 239,96",40,438,15:23:00,26,"10,98",00:23,"R$ 0,65",,,
10/07/2022,166470,8,"R$ 5,99","R$ 243,82",41,465,16:09:00,27,"11,43",00:23,"R$ 0,52",,,
17/07/2022,166915,7,"R$ 5,79","R$ 231,22",40,445,16:28:00,26,"11,13",00:24,"R$ 0,54",,,
28/07/2022,167355,11,"R$ 5,79","R$ 223,55",39,439,,,"11,40",,"R$ 0,51",,,
05/08/2022,167756,8,"R$ 5,39","R$ 191,36",36,401,,,"11,30",,"R$ 0,51",,,
15/08/2022,168273,10,"R$ 5,79","R$ 278,44",48,517,19:11:00,30,"10,75",00:23,"R$ 0,50",DT Clean,Cangaíba,
26/08/2022,168808,11,"R$ 5,59","R$ 256,92",46,535,16:12:00,31,"11,64",00:21,"R$ 0,50",DT Clean,,
04/09/2022,169254,9,"R$ 4,89","R$ 210,29",43,446,,26,"10,37",00:00,"R$ 0,54",,,
11/09/2022,169735,7,"R$ 4,89","R$ 217,62",45,481,17:09:00,28,"10,81",00:23,"R$ 0,45",Grid,Petro,
18/09/2022,170224,7,"R$ 4,99","R$ 225,05",45,489,16:15:00,31,"10,84",00:21,"R$ 0,45",Comum,Cangaíba,
01/10/2022,170688,13,"R$ 4,79","R$ 218,02",46,464,19:56:00,23,"10,19",00:26,"R$ 0,49",Grid,Petro,
09/10/2022,171163,8,"R$ 4,79","R$ 204,75",43,475,16:18:00,30,"11,11",00:22,"R$ 0,43",Comum,Petro,
16/10/2022,171626,7,"R$ 4,79","R$ 204,75",43,463,16:44:00,29,"10,83",00:23,"R$ 0,44",Grid,Petro,
27/10/2022,172035,11,"R$ 5,29","R$ 218,79",41,409,16:28:00,26,"9,89",00:23,"R$ 0,48",DT Clean,Cangaíba,
27/10/2022,172232,0,"R$ 5,29","R$ 119,77",23,197,06:21:00,33,"8,70",00:16,"R$ 0,61",DT Clean,Cangaíba,
01/11/2022,172664,5,"R$ 4,89","R$ 209,70",43,432,14:49:00,31,"10,07",00:20,"R$ 0,53",Grid,Petro,
08/11/2022,173040,7,"R$ 4,89","R$ 155,76",32,376,10:37:00,38,"11,81",00:20,"R$ 0,41",,,
13/11/2022,173483,5,"R$ 4,89","R$ 202,01",41,443,16:38:00,28,"10,73",00:24,"R$ 0,46",,,
20/11/2022,173972,7,"R$ 4,89","R$ 209,91",43,489,15:37:00,33,"11,39",00:21,"R$ 0,43",,,
30/11/2022,174442,10,"R$ 5,39","R$ 227,03",42,470,17:56:00,26,"11,16",00:25,"R$ 0,44",Grid,Ipiranga SBC,
09/12/2022,174897,9,"R$ 4,89","R$ 198,26",41,455,18:19:00,25,"11,22",00:27,"R$ 0,48",Grid,Petro - Fernão Dias,
18/12/2022,175381,9,"R$ 4,89","R$ 197,52",40,484,16:44:00,28,"11,98",00:24,"R$ 0,41",Grid,Petro - Fernão Dias,
25/12/2022,175841,7,"R$ 4,89","R$ 204,72",42,460,17:12:00,27,"10,99",00:24,"R$ 0,45",,,
01/01/2023,176357,7,"R$ 4,89","R$ 193,97",40,516,15:49:00,34,"13,01",00:23,"R$ 0,38",Grid,Petro - Fernão Dias,
09/01/2023,176897,8,"R$ 4,99","R$ 212,22",43,540,16:26:00,34,"12,70",00:23,"R$ 0,39",Grid,Petro - Fernão Dias,
20/01/2023,177386,11,"R$ 4,79","R$ 201,66",42,489,16:22:00,31,"11,62",00:23,"R$ 0,43",Grid,Petro - Fernão Dias,
02/02/2023,177863,13,"R$ 5,26","R$ 234,33",45,478,17:44:00,27,"10,71",00:23,"R$ 0,45",,,
19/02/2023,178355,17,,"R$ 250,00",43,492,17:00:00,,,,"R$ 0,46",,,
09/03/2023,178846,18,"R$ 5,49","R$ 241,01",44,467,19:08:00,25,"10,64",00:26,"R$ 0,00",Ipiranga Comum,,
23/03/2023,179285,14,"R$ 5,79","R$ 240,17",41,439,16:30:00,27,"10,58",00:23,"R$ 0,52",Ipiranga DtClean,,
02/04/2023,179691,10,"R$ 5,39","R$ 182,88",34,406,13:06:00,31,"11,97",00:23,"R$ 0,48",Grid,Petro - Fernão Dias,
17/04/2023,180137,15,"R$ 7,09","R$ 302,74",43,446,18:39:00,23,"10,44",00:26,"R$ 0,52",Podium,Petro - Fernão Dias,
23/04/2023,180626,6,"R$ 5,59","R$ 227,65",41,489,16:49:00,29,"12,01",00:24,"R$ 0,59",Grid,Petro - Fernão Dias,
30/04/2023,181071,7,"R$ 5,59","R$ 220,42",39,445,18:14:00,26,"11,29",00:27,"R$ 0,50",Ipiranga Comum,Ipiranga Comum,
13/05/2023,181525,13,"R$ 5,59","R$ 251,90",45,454,19:12:00,25,"10,07",00:25,"R$ 0,55",Grid,Petro - Fernão Dias,
26/05/2023,181996,13,"R$ 5,29","R$ 242,65",46,471,19:33:00,26,"10,27",00:25,"R$ 0,54",Ipiranga Comum,,
